Campaign,Funnel,Category,Brand,Start Date,End Date,Objective,Region,Platform,Buying Type,Ad format,Placement,TA,Unit,Pool size,Don Gia,Discount,Net media cost,Total media cost VND,Pool size,reach_plan,reach_estimate,%reach_estimate,reach_combine_estimate,%reach_combine_estimate,impression_plan,impression_estimate,views_plan,views_estimate,engagement_plan,engagement_estimate,click_plan,click_estimate,frequency_estimate,frequency_estimate_week,frequency_combine_estimate_week,er_estimate,vtr_estimate,ctr_estimate,click to rate(CTR),So tuan,Ngay,exchange_rate,bench_mark
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,Rural,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,3.187.500,VND 6.000,,VND 19.125.000,19813500,5.100.000,1.275.000,1.275.000,25%,,, 3.187.500 , 3.187.500 ,, -   , -   ,,,3.188,3,,,,"3,0%","0,1%"," 2,0 ",31,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,2/15/2025,Reach,HCM,Programmatic,MB Inpage,Banner ,Selected sitelist,F25-44, CPM , 2.480.000 ,VND 64.350,0%,VND 159.588.000,179011283, 3.100.000 ,, 1.240.000 ,40%, 1.840.000 ,, 2.480.000 , 2.480.000 ,, -   ,,,,2.48,2,,,,"0,0%","0,1%"," 2,0 ",25,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,2/15/2025,Reach,HCM,Programmatic,MB Inpage,Banner ,Selected sitelist,P18-24, CPM , 1.200.000 ,VND 64.350,0%,VND 77.220.000,86618363, 1.500.000 ,,600,40%,,, 1.200.000 , 1.200.000 ,, -   ,,,,1.2,2,,,,"0,0%","0,1%"," 2,0 ",25,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,2/15/2025,Reach,HCM,Programmatic,ADX,Banner ,RON- contextual kw related to Probi topic,F25-44, CPM , 2.480.000 ,VND 25.000,0%,VND 62.000.000,69545953, 3.100.000 ,, 1.240.000 ,40%, 1.840.000 ,, 2.480.000 , 2.480.000 ,, -   ,,,4.96,4.96,2,,,,"0,0%","0,2%"," 2,0 ",25,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,2/15/2025,Reach,HCM,Programmatic,ADX,Banner ,RON- contextual kw related to Probi topic,P18-24, CPM , 1.200.000 ,VND 25.000,0%,VND 30.000.000,33651268, 1.500.000 ,,600,40%,,, 1.200.000 , 1.200.000 ,, -   ,,,2.4,2.4,2,,,,"0,0%","0,2%"," 2,0 ",25,,,
SustainQ1,Consideration,SCUMS,Probi,1/25/2025,2/15/2025,View,HCM,TikTok ,In feed ads,TBU,In feed ad on Tiktok,F25-44, CPV ,156.6,VND 150,,VND 23.490.000,25510140, 2.900.000 ,,870,30%, 1.500.000 ,,, 1.957.500 ,156.6,156.6,,,,1.958,2,,,,"8,0%","0,1%"," 2,0 ",32,,,
SustainQ1,Consideration,SCUMS,Probi,1/25/2025,2/15/2025,View,HCM,TikTok ,In feed ads,TBU,In feed ad on Tiktok,P18-24, CPV ,113.4,VND 120,,VND 13.608.000,14778288, 2.100.000 ,,630,30%,,,, 1.417.500 ,113.4,113.4,,,,1.418,2,,,,"8,0%","0,1%"," 2,0 ",32,,,
SustainQ1,Consideration,SCUMS,Probi, TBU , TBU ,Click,HCM,Facebook ,FB Social ,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPC ,7.92,VND 1.700,,VND 13.464.000,13948704,4.400.000,880,880,20%, 1.820.000 ,,, 2.640.000 ,, -   , -   ,,7.92,7.92,3,,,,"0,0%","0,3%"," 2,0 ", TBU ,,,
SustainQ1,Consideration,SCUMS,Probi, TBU , TBU ,Click,HCM,Facebook ,FB Social ,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPC ,8.46,VND 1.700,,VND 14.382.000,14899752,4.700.000,940,940,20%,,,, 2.820.000 ,, -   , -   ,,8.46,8.46,3,,,,"0,0%","0,3%"," 2,0 ", TBU ,,,
SustainQ1,Consideration,SCUMS,Probi,1/25/2025,2/25/2025,View,Urban,Tiktok,In feed ads,TBU,In feed ad on Tiktok,F25-44, CPV ,237.6,VND 115,,VND 27.324.000,29673864, 4.400.000 ,, 1.320.000 ,30%, 4.920.000 ,,, 2.970.000 ,237.6,237.6,,,,2.97,2,,,,"8,0%","0,1%"," 2,0 ",32,,,
SustainQ1,Consideration,SCUMS,Probi,1/25/2025,2/25/2025,View,Urban,Tiktok,In feed ads,TBU,In feed ad on Tiktok,P18-24, CPV ,645.12,VND 115,,VND 74.188.800,80569037, 3.600.000 ,, 3.600.000 ,30%,,,, 8.064.000 ,645.12,645.12,,,,8.064,2,,,,"8,0%","0,1%"," 2,0 ",32,,,
SustainQ1,Consideration,SCUMS,Probi,1/25/2025,2/25/2025,View,Rural,Tiktok,In feed ads,TBU,In feed ad on Tiktok,F25-44, CPV ,145.152,VND 110,,VND 15.966.720,17339858, 2.700.000 ,,810,30%, 1.500.000 ,,, 1.814.400 ,145.152,145.152,,,,1.814,2,,,,"8,0%","0,1%"," 2,0 ",32,,,
SustainQ1,Consideration,SCUMS,Probi,1/25/2025,2/25/2025,View,Rural,Tiktok,In feed ads,TBU,In feed ad on Tiktok,P18-24, CPV ,123.648,VND 100,,VND 12.364.800,13428173, 2.300.000 ,,690,30%,,,, 1.545.600 ,123.648,123.648,,,,1.546,2,,,,"8,0%","0,1%"," 2,0 ",32,,,
SustainQ1,Consideration,SCUMS,Probi,1/23/2025,1/25/2025,Reach,Nationwide,Grab,Full Page Ads Transport Saver Native image,Still image,Transport Saver,P18+, CPM ,270.381,VND 94.000,20%,VND 20.332.651,21328951,,,90,,,,270.381,270.381,, -   ,,,,5.408, -   ,,,,,2%,1,3,,,
SustainQ1,Consideration,SCUMS,Probi,1/26/2025,2-Feb,Reach,Nationwide,Grab,Full Page Ads Transport Saver Native image,Still image,Transport Saver,P18+, CPM ,386.032,VND 94.000,20%,VND 29.029.606,30452057,,,146.667,,,,386.032,386.032,, -   ,,,,7.721, -   ,,,,,2%,1,8,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,3/31/2025,Click,Nationwide,Auction,Search Brand KW,Search Kw and extext,Google search,Nationwide, CPC ,13.76,VND 6.000,,VND 82.560.000,94335533,172,,137.6,80%,,,,137.6,, -   ,,,13.76,13.76, -   ,,,,"0,0%","10,0%"," 10,4 ",69,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,3/31/2025,Click,Nationwide,Auction,Search Product KW,Search Kw and extext,Google search,Nationwide, CPC ,1.848,VND 5.000,,VND 9.240.000,10557901,44,,26.4,60%,,,,26.4,, -   ,,,1.848,1.848, -   ,,,,"0,0%","7,0%"," 10,4 ",69,,,
SustainQ1,Consideration,SCUMS,Probi,1/22/2025,3/31/2025,Click,Nationwide,Auction,Search Affinity,Search Kw and extext,Google search,Nationwide, CPC ,2.76,VND 5.000,,VND 13.800.000,15768294,138,,55.2,40%,,,,55.2,, -   ,,,2.76,2.76, -   ,,,,"0,0%","5,0%"," 10,4 ",69,,,
